#1												
double data(17520, 13)												
122400	698.97	876.54	1475.45	344.24	7403.9	3662.38	1214.27	268.52	979.11	1719.49	4000	22642.86
124200	718.54	906.7	1511.54	352.69	7625.71	3770	1229.79	274.4	999.05	1789.22	1672.73	20850.36
126000	736.98	933.54	1545.04	371.98	7960.9	4105.23	1244.69	298.06	1014.88	1812.47	1454.55	21478.31
127800	752.11	954.87	1572.99	391.77	8082.56	4306.35	1259.93	293.83	1028.64	1840.98	1309.09	21793.12
129600	487.23	668.99	1037.83	403.66	8110.87	4419.25	1225.78	263.92	596.83	1111.54	1309.09	19634.99
131400	459.66	639.32	982.33	413.28	8229.91	4500.83	1209.35	252.06	561.52	1084.45	1236.36	19569.06
133200	0	31.37	49.01	420.54	7903.43	4558.99	1201.48	88.12	0	126.76	1163.64	15543.34
135000	0	134.84	98.01	426.99	8007.62	4604.75	1206.01	165.33	0	244.25	1090.91	15978.71
136800	0	166.62	147.02	428.44	8082.31	4560.54	1202.48	179.67	0	322.55	1018.18	16107.81
138600	0	184.71	196.03	425.15	8049.5	4509.79	1196.67	186.09	0	341.1	945.45	16034.5
140400	0	197.19	186.36	420.78	7879.13	4471.27	1189.67	160.68	0	563.98	872.73	15941.78
142200	0	164.82	248.96	414.27	8084.99	4423.71	1180.19	190.56	0	432.47	872.73	16012.69
144000	0	202.96	340.18	407.22	7831.67	4384.14	1171	181.1	0	608.55	872.73	15999.55
145800	0	204.82	125.93	400.06	7789.28	4350.82	1162.23	168.62	0	322.93	0	14524.68
147600	0	162.94	0	393.79	7771.21	4289.67	1120.45	98.68	0	214.54	0	14051.29
149400	0	136.43	0	387.56	7447.88	4260.44	1071.47	133.08	0	257.63	0	13694.49
151200	0	81.68	0	376.96	6776.14	4126.89	1056.7	75.37	0	127.88	0	12621.62
153000	0	0	0	362.73	6362.73	4024.7	1034.13	77.52	0	146.58	0	12008.38
154800	0	0	0	351.74	5963.18	3969.02	1011.59	54.17	0	122.05	0	11471.76
156600	0	0	0	346.18	5833.03	3943.24	1001.66	56.69	0	109.84	0	11290.64
158400	0	0	0	342.33	5879.42	3857.12	995.07	55.55	0	125.56	0	11255.05
160200	0	0	0	338.85	5441.13	3716.29	988.85	54.08	0	145.06	0	10684.25
162000	0	0	0	344.39	5260.73	3807.6	989.28	55.49	0	121.6	0	10579.09
163800	0	0	0	352.48	5060.83	3829.77	995.79	57.23	0	109.54	0	10405.65
165600	0	0	0	200.95	2491.69	1094.03	997	55.11	0	125.28	4000	8964.06
167400	0	0	0	176.53	2067.55	905.56	991.8	55.28	0	145.33	1672.73	6014.77
169200	0	0	0	0	1266.3	232.89	983.13	53.75	0	121.27	1454.55	4111.89
171000	0	0	0	0	1279.48	283.6	970.79	54.97	0	109.06	1309.09	4006.98
172800	0	0	0	0	1276.83	305.49	964.34	53.9	0	124.19	1309.09	4033.84
174600	0	0	0	0	1251.84	310.93	964.42	55.74	0	143.74	1236.36	3963.04
176400	0	0	0	0	1253.07	313.52	961.82	53.55	0	120.03	1163.64	3865.62
178200	0	0	0	0	1342.64	317.57	957.11	53.78	0	108.03	1090.91	3870.04
180000	0	0	0	0	1279.77	313.19	951.92	52.39	0	123.69	1018.18	3739.14
181800	0	0	0	0	1275.17	301.98	946.67	53.67	0	143.49	945.45	3666.44
183600	0	0	0	0	1243.15	292.2	940.89	55.22	0	119.67	872.73	3523.85
185400	0	0	0	0	1307.39	282.47	934.34	53.01	0	107.55	872.73	3557.49
187200	0	0	0	0	1371.9	475.72	927.97	52.95	0	123	872.73	3824.27
189000	0	0	0	0	1219.31	673.75	923.04	51.7	0	142.69	0	3010.49
190800	0	0	0	0	1779.13	606.02	925.57	53.18	0	119.34	0	3483.23
192600	0	0	0	46.02	2194.71	808.02	935.13	55.01	0	107.41	0	4146.29
194400	0	0	0	92.04	1956.43	765.85	948.6	53.63	0	123.7	0	3940.25
